,label,1hour_prediction
532,18.0,20.06095895888093
533,31.0,30.656766461992284
534,27.0,29.43527210990589
535,29.0,28.899670147176742
536,23.0,23.389972070038777
537,23.0,20.353453171997188
538,24.0,20.49238283570031
539,25.0,27.369196565161623
540,21.0,22.23008114510957
541,20.0,22.08035800749786
542,26.0,25.50590608098619
543,34.0,30.36866452452267
544,38.0,37.812063405309736
545,40.0,39.76378318982277
546,33.0,30.815791389702586
547,27.0,26.8817898134825
548,24.0,26.157004430006833
549,20.0,21.424749579644
550,19.0,17.147691508089327
551,9.0,5.033013499167496
552,8.0,6.60904073037573
553,2.0,2.389088860333886
554,2.0,1.3053561172825032
555,1.0,2.879740521094337
556,15.0,17.54987852934158
557,27.0,29.68770751436281
558,31.0,32.635361433687244
559,35.0,31.524620619063217
560,26.0,24.250632101630195
561,18.0,17.59868299136577
562,18.0,18.070312609603352
563,32.0,29.35662228223681
564,27.0,28.502776694258124
565,18.0,21.01453630900895
566,24.0,26.23344375380801
567,34.0,33.53755550360988
568,34.0,37.71204485924476
569,46.0,42.544247997421756
570,36.0,32.00118346556475
571,24.0,25.975726000807054
572,25.0,27.00760142015722
573,24.0,25.256330181098992
574,25.0,21.071409013731706
575,4.0,5.056206540727494
576,6.0,5.512895113920621
577,2.0,2.238769885136595
578,1.0,1.097987641914635
579,1.0,4.662849312919541
580,19.0,19.553411840746115
581,33.0,31.26966896381708
582,29.0,30.29820249108715
583,32.0,32.21299127639826
584,29.0,24.875615879879458
585,19.0,19.597602091088216
586,22.0,21.065435900452176
587,26.0,31.16497394848306
588,24.0,26.397011378758524
589,24.0,25.09967584218719
590,28.0,28.68930732676041
591,30.0,30.08816935418787
592,40.0,38.221391921459386
593,40.0,38.74143863910776
594,32.0,30.76126915215965
595,25.0,26.606667908973158
596,29.0,28.35614106903978
597,25.0,23.933103915477254
598,20.0,17.51378752676524
599,4.0,5.756679124374101
600,6.0,5.314348731926995
601,1.0,1.6656883902965403
602,0.0,0.9268129063740762
603,1.0,3.828955988813707
604,24.0,21.329239971008256
605,33.0,31.132432239320607
606,29.0,31.91736454076589
607,25.0,28.573122605765196
608,32.0,28.343079907885805
609,18.0,19.221490638628815
610,18.0,19.61098532248415
611,33.0,31.67534357966687
612,31.0,27.298867124129554
613,24.0,23.515155858215127
614,25.0,27.160761422527983
615,34.0,33.607794891796146
616,38.0,39.502107378107645
617,42.0,40.84185758479885
618,32.0,28.804063821711676
619,29.0,26.862379010537847
620,25.0,26.56663461312889
621,21.0,24.7053554311022
622,23.0,19.077465703541993
623,4.0,5.027792937277176
624,7.0,7.328091792955077
625,3.0,3.1285820008090988
626,3.0,0.9994671894048173
627,0.0,3.564798602285174
628,17.0,20.03811072536068
629,34.0,32.29233452224709
630,31.0,31.277857636260727
