,label,1hour_prediction,label,2hour_prediction
593,40.0,39.444,32.0,31.483
594,32.0,31.302,25.0,26.074
595,25.0,26.059,29.0,28.546
596,29.0,28.494,25.0,24.224
597,25.0,24.217,20.0,19.339
598,20.0,17.988,4.0,6.091
599,4.0,4.669,6.0,6.045
600,6.0,5.717,1.0,1.173
601,1.0,1.202,0.0,0.336
602,0.0,0.389,1.0,1.922
603,1.0,2.037,24.0,22.234
604,24.0,22.667,33.0,31.759
605,33.0,31.902,29.0,30.112
606,29.0,30.211,25.0,27.318
607,25.0,26.873,32.0,29.963
608,32.0,30.285,18.0,18.731
609,18.0,18.851,18.0,18.606
610,18.0,18.644,33.0,32.61
611,33.0,32.528,31.0,30.07
612,31.0,29.145,24.0,24.423
613,24.0,23.769,25.0,26.329
614,25.0,26.005,34.0,33.622
615,34.0,33.842,38.0,39.553
616,38.0,39.009,42.0,41.334
617,42.0,41.277,32.0,30.267
618,32.0,30.248,29.0,27.967
619,29.0,28.182,25.0,25.924
620,25.0,25.905,21.0,22.513
621,21.0,24.437,23.0,17.585
622,23.0,20.79,4.0,4.873
623,4.0,4.285,7.0,7.608
624,7.0,9.028,3.0,2.289
625,3.0,3.172,3.0,2.401
626,3.0,2.178,0.0,0.987
627,0.0,3.055,17.0,20.718
628,17.0,18.313,34.0,33.035
629,34.0,33.351,31.0,30.75
630,31.0,31.041,26.0,26.627
631,26.0,26.57,31.0,28.623
632,31.0,29.01,19.0,19.509
633,19.0,19.777,15.0,15.658
634,15.0,15.709,33.0,32.349
635,33.0,32.563,25.0,25.354
636,25.0,25.128,26.0,27.409
637,26.0,27.55,37.0,34.27
638,37.0,34.602,28.0,29.082
639,28.0,28.935,37.0,37.949
640,37.0,39.757,39.0,37.214
641,39.0,38.458,30.0,30.535
642,30.0,30.873,26.0,27.469
643,26.0,26.48,28.0,28.218
644,28.0,28.105,28.0,27.135
645,28.0,27.464,18.0,17.704
646,18.0,17.397,3.0,3.811
647,3.0,3.699,5.0,4.609
648,5.0,3.987,0.0,1.108
649,0.0,0.499,1.0,1.019
650,1.0,1.042,4.0,3.673
651,4.0,3.853,22.0,21.401
652,22.0,21.122,28.0,29.532
653,28.0,29.705,34.0,32.702
654,34.0,33.051,29.0,29.083
